id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401310754,Colorado State,10,Nevada,52,William Hill (New Jersey),58,3,Nevada -3,,,,
401310754,Colorado State,10,Nevada,52,consensus,58,3,Nevada -3,,,,
401310754,Colorado State,10,Nevada,52,teamrankings,57.5,3,Nevada -3,,,,
401309643,Georgia State,28,Arkansas State,20,Bovada,66.0,-16.0,Georgia State -16.0,-16.0,62.5,-800,525
401309643,Georgia State,28,Arkansas State,20,William Hill (New Jersey),66,-15.5,Georgia State -15.5,,,,
401309643,Georgia State,28,Arkansas State,20,consensus,65.5,-15.5,Georgia State -15.5,,,,
401309643,Georgia State,28,Arkansas State,20,teamrankings,66,-15.5,Georgia State -15.5,,,,
401309592,Akron,0,Kent State,38,Bovada,72.0,14.0,Kent State -14.0,13.0,74.0,390,-545
401309592,Akron,0,Kent State,38,William Hill (New Jersey),72.5,13.5,Kent State -13.5,,,,
401309592,Akron,0,Kent State,38,consensus,72.5,13.5,Kent State -13.5,,,,
401309592,Akron,0,Kent State,38,teamrankings,72.5,13.5,Kent State -13.5,,,,
401310755,New Mexico,10,Utah State,35,Bovada,48.0,17.0,Utah State -17.0,15.5,49.5,525,-800
401310755,New Mexico,10,Utah State,35,William Hill (New Jersey),48,17,Utah State -17,,,,
401310755,New Mexico,10,Utah State,35,consensus,48,17,Utah State -17,,,,
401310755,New Mexico,10,Utah State,35,teamrankings,48,17,Utah State -17,,,,
401309628,Appalachian State,59,Louisiana Monroe,28,Bovada,58.0,-27.0,Appalachian State -27.0,-27.0,60.0,-5000,1275
401309628,Appalachian State,59,Louisiana Monroe,28,William Hill (New Jersey),57.5,-27,Appalachian State -27,,,,
401309628,Appalachian State,59,Louisiana Monroe,28,consensus,57.5,-27,Appalachian State -27,,,,
401309628,Appalachian State,59,Louisiana Monroe,28,teamrankings,57.5,-26.5,Appalachian State -26.5,,,,
401301033,East Carolina,29,South Florida,14,Bovada,56.0,-9.5,East Carolina -9.5,-9.0,57.0,-360,280
401301033,East Carolina,29,South Florida,14,William Hill (New Jersey),55.5,-9.5,East Carolina -9.5,,,,
401301033,East Carolina,29,South Florida,14,consensus,55.5,-9.5,East Carolina -9.5,,,,
401301033,East Carolina,29,South Florida,14,teamrankings,55.5,-9.5,East Carolina -9.5,,,,
401282809,Ohio State,28,Oregon,35,Bovada,65.0,-14.5,Ohio State -14.5,-14.0,63.5,-700,450
401282809,Ohio State,28,Oregon,35,William Hill (New Jersey),65,-14.5,Ohio State -14.5,,,,
401282809,Ohio State,28,Oregon,35,consensus,65,-15,Ohio State -15,,,,
401282809,Ohio State,28,Oregon,35,numberfire,63.5,-14.5,Ohio State -14.5,,,,
401282809,Ohio State,28,Oregon,35,teamrankings,65,-14.5,Ohio State -14.5,,,,
401301028,Houston,31,East Carolina,24,Bovada,57.0,-13.5,Houston -13.5,-13.0,58.0,-565,400
401301028,Houston,31,East Carolina,24,William Hill (New Jersey),56.5,-13.5,Houston -13.5,,,,
401301028,Houston,31,East Carolina,24,consensus,56.5,-13.5,Houston -13.5,,,,
401301028,Houston,31,East Carolina,24,teamrankings,56,-13.5,Houston -13.5,,,,
401301034,Houston,44,SMU,37,Bovada,61.5,0.0,SMU -0.0,-1.0,62.5,-120,
401301034,Houston,44,SMU,37,William Hill (New Jersey),61.5,1,SMU -1,,,,
401301034,Houston,44,SMU,37,consensus,61.5,1,SMU -1,,,,
401301034,Houston,44,SMU,37,teamrankings,61.5,1,SMU -1,,,,
401309645,Georgia Southern,17,BYU,34,Bovada,57.5,20.0,BYU -20.0,20.0,57.0,750,-1400
